"id","nama","email","pekerjaan","wilayah","umur","pendapatan","status_pernikahan","tanggal_survey"
16,Kardi Prayoga,hari_herlambang19@gmail.co.id,Legacy Factors Planner,Sunggu Minasa,18,23852496.00,false,2026-02-09
17,Balangga Salahudin,nur.satria@gmail.com,Forward Integration Assistant,Madiun,50,18967459.00,false,2026-02-01
18,Wirda Wirda Anjani,balapati49@yahoo.co.id,Lead Assurance Planner,Kupang,37,3385162.00,true,2025-12-29
19,Usamah Amelia,eli79@gmail.co.id,National Division Designer,Boroko,31,12059244.00,true,2026-02-18
20,Kurniawan Harimurti,lalita.prasetyo@yahoo.com,Forward Implementation Technician,Ampana,63,13957503.00,false,2025-11-24
21,Puspita Mustika,kasiyah_damayanti5@yahoo.com,Lead Assurance Consultant,Ngawi,64,16475867.00,true,2026-02-04
22,Paris Laksmiwati,murti61@yahoo.co.id,Legacy Program Agent,Kediri,23,9523105.00,true,2026-01-07
23,Daruna Daruna Sitorus,ina_bagaskara@yahoo.co.id,Product Directives Assistant,Sidenreng,45,22092285.00,true,2025-04-15
24,Rafid Marbun,balidin.nurdiyanti@gmail.com,International Solutions Executive,Tangerang Selatan,20,6453363.00,true,2025-11-06
25,Maharani Faizah,yunita_budiyanto@gmail.com,Lead Operations Consultant,Ngawi,22,3167850.00,false,2025-06-13
26,Waluyo Waluyo Herlambang,balamantri.gunawan22@yahoo.com,Legacy Interactions Planner,Tahuna,41,23504718.00,true,2026-03-29
27,Asirwanda Asirwanda Kusumo,dwi.febian@yahoo.co.id,Chief Data Supervisor,Lasusua,63,9505843.00,false,2025-05-08
28,Balangga Balangga Aswandi,bakiono14@yahoo.com,Global Metrics Developer,Sleman,65,10919293.00,false,2025-07-21
29,Jaiman Marbun,siska35@gmail.com,Central Assurance Associate,Negara,30,14980845.00,false,2026-03-03
30,Tasdik Tasdik Kurniawan,diana_ardana8@gmail.co.id,Legacy Optimization Engineer,Taliwang,64,11843315.00,true,2025-05-28
31,Bambang Saragih,kayla59@yahoo.co.id,Senior Marketing Executive,Barru,37,19802932.00,true,2026-01-21
32,Lega Lega Wacana,rafi_widiastuti81@yahoo.com,Global Functionality Specialist,Ende,22,14872091.00,false,2025-09-18
33,Kariman Haikal,faizah.prabowo@yahoo.co.id,Dynamic Accountability Technician,Majalengka,22,22569686.00,true,2025-04-28
34,Nasyidah Bella,jamal.mulyani@gmail.com,Dynamic Configuration Architect,Kalabahi,53,12460889.00,false,2025-05-01
35,Lintang Fujiati,tari_anggriawan72@gmail.com,Principal Branding Administrator,Banggai,56,6419453.00,false,2025-06-22
36,Ajeng Uyainah,candrakanta72@gmail.com,Legacy Solutions Supervisor,Bantul,60,10039761.00,false,2026-02-28
37,Tirtayasa Tirtayasa Suryono,rendy2@yahoo.com,Customer Solutions Producer,Pinrang,35,4848308.00,true,2026-01-18
38,Susanti Aulia,banara_saptono@yahoo.co.id,Investor Quality Executive,Bau-Bau,43,22785759.00,false,2025-12-07
39,Wulandari Febi,karen_hariyah45@gmail.co.id,Internal Communications Technician,Bolaang Uki,44,16736445.00,true,2025-06-17
40,Tantri Tantri Purwanti,cinthia35@yahoo.com,Chief Group Facilitator,Parigi,52,18565461.00,false,2025-11-13
41,Lukita Herlambang,asman48@yahoo.com,Investor Optimization Orchestrator,Cilacap,64,17187241.00,false,2025-09-11
42,Safira Safira Maharani,imam_halimah41@yahoo.co.id,International Branding Assistant,Ciamis,65,16628605.00,true,2025-04-07
43,Galar Hidayanto,lantar42@yahoo.com,Internal Interactions Representative,Bitung,52,17993627.00,true,2025-11-01
44,Ardiyanti Febrina,yono62@yahoo.com,Principal Tactics Director,Serang,18,16043482.00,true,2026-03-09
45,Gangsa Gangsa Manullang,nova87@gmail.com,Internal Mobility Liaison,Banggai,52,8636340.00,true,2025-08-29
46,Ami Ami Oktaviani,mahfud_mayasari62@gmail.co.id,Corporate Configuration Technician,Ngawi,40,20598562.00,false,2025-10-25
47,Dinda Dinda Kusmawati,kairav.hutasoit@gmail.com,Legacy Program Designer,Bau-Bau,52,16263888.00,false,2025-06-06
48,Napitupulu Oman,janet.nasyiah@yahoo.com,Chief Factors Specialist,Watan Soppeng,19,7971254.00,false,2025-08-28
49,Ilsa Wijayanti,irawati.lestari99@yahoo.com,Corporate Brand Planner,Sinjai,39,21654933.00,false,2026-02-26
50,Kani Kani Laksita,sari27@yahoo.co.id,International Applications Supervisor,Tambolaka,42,22840173.00,false,2026-01-23
51,Mursinin Mursinin Halim,cakrajiya.dirgantara@yahoo.com,Legacy Interactions Administrator,Raba,53,3172184.00,true,2025-10-28
52,Kasim Kasim Suryono,tri29@yahoo.com,District Security Director,Pangkajene,64,11579995.00,true,2025-08-13
53,Wulandari Genta,samiah47@yahoo.co.id,Central Tactics Orchestrator,Bungku,23,3296513.00,false,2025-06-06
54,Yani Yani Anandya,rahmi_situmorang67@gmail.com,Product Division Associate,Cikarang,39,9175187.00,false,2025-06-30
55,Zelda Aryanti,karsana43@yahoo.co.id,Human Quality Executive,Bekasi,27,22535642.00,false,2025-07-22
56,Gina Gina Puspita,artanto48@yahoo.com,Direct Metrics Orchestrator,Wonosari,44,9415728.00,true,2025-06-03
57,Santoso Rudi,mahmud.hakim13@gmail.com,Central Solutions Facilitator,Kota Raha,38,13824343.00,false,2025-06-23
58,Kusuma Olivia,latif.sudiati@gmail.co.id,Future Solutions Administrator,Ambarawa,58,15912236.00,false,2025-12-25
59,Rachmawati Padma,purwadi.haryanto13@yahoo.co.id,Customer Program Officer,Bandung,62,13800510.00,false,2025-11-11
60,Gunawan Ganda,siti_namaga4@yahoo.com,International Response Liaison,Jember,44,22367834.00,true,2025-06-18
61,Hamzah Januar,gawati79@gmail.com,Product Marketing Orchestrator,Banjarnegara,27,7272179.00,true,2025-11-21
62,Tari Tari Kahyang,hafshah.napitupulu@yahoo.com,Dynamic Group Director,Lumajang,57,24466630.00,true,2026-02-16
63,Asman Asman Sinaga,mumpuni.yudhistira@gmail.co.id,Central Brand Assistant,Masamba,42,4303233.00,false,2025-05-08
64,Titin Salma,elisa.mustika30@yahoo.co.id,Customer Security Assistant,Kota Raha,18,14898318.00,false,2025-07-04
65,Karsa Nababan,makuta.prastuti81@gmail.co.id,Principal Functionality Specialist,Kota Raha,57,4975031.00,false,2025-08-05
66,Sadina Sadina Kusuma,rosa65@yahoo.com,Central Quality Agent,Kediri,56,14602040.00,true,2025-07-09
67,Wijayanti Mila,maryanto.kurniawan58@yahoo.com,Corporate Factors Facilitator,Manado,27,19274332.00,true,2025-05-09
68,Irawati Irawati Elvina,ilsa.agustian51@yahoo.com,Future Group Liaison,Bulukumba,54,22180821.00,false,2025-04-03
69,Agnes Mardhiyah,cakrawangsa.iswahyudi33@gmail.com,Future Implementation Manager,Toli Toli,50,21093065.00,true,2026-02-05
70,Purnawati Genta,darmanto79@yahoo.com,International Paradigm Architect,Waingapu,43,9423443.00,true,2026-03-27
71,Pangestu Prayogo,ellis_hidayanto3@yahoo.com,Human Program Coordinator,Bekasi,52,14505387.00,false,2026-01-19
72,Arifin Gandi,aurora12@gmail.com,Future Branding Strategist,Makale,37,21013491.00,false,2026-03-05
73,Sihombing Cengkir,fitri_winarsih@yahoo.com,Senior Directives Assistant,Boyolali,57,8409462.00,true,2025-08-12
74,Maryanto Maryanto Prabowo,sintia_prasetya64@yahoo.com,Direct Operations Architect,Singaraja,64,8119331.00,true,2025-05-01
75,Banawi Hermawan,paulin_padmasari@gmail.com,Principal Communications Architect,Makassar,23,19168841.00,false,2025-04-03
76,Susanti Kayla,kariman.antoni@yahoo.co.id,Corporate Interactions Designer,Bumiayu,21,11700561.00,false,2025-04-25
77,Hendri Hendri Firgantoro,sabrina_tarihoran@yahoo.co.id,Direct Usability Representative,Ngamprah,44,10727105.00,true,2025-06-27
78,Budiyanto Maryadi,diah.leilani@yahoo.co.id,Regional Interactions Orchestrator,Pelabuhan Ratu,40,12816563.00,false,2026-01-16
79,Gunarto Tri,ria.azzahra44@yahoo.co.id,Product Quality Officer,Ungaran,26,12577218.00,true,2026-02-11
80,Andriani Tami,paulin_ardianto@gmail.co.id,Central Data Associate,Bantaeng,36,16330319.00,false,2025-06-22
81,Laksmiwati Tina,wirda49@yahoo.com,Central Data Strategist,Majalengka,31,20400299.00,true,2025-08-14
82,Harini Faizah,empluk_yuniar@yahoo.com,Human Response Officer,Cikampek,32,14533312.00,false,2025-11-28
83,Nasyiah Umi,samiah_prakasa73@yahoo.co.id,Future Tactics Manager,Bangil,28,5753113.00,true,2026-03-24
84,Hardana Faresta,muhammad_haikal@gmail.com,Lead Identity Executive,Donggala,57,19043608.00,true,2025-04-12
85,Raina Mayasari,dimaz58@yahoo.com,Forward Quality Associate,Sumbawa Besar,64,23244653.00,true,2025-08-10
86,Zulaika Sakura,sartika.hutagalung22@gmail.co.id,Corporate Division Manager,Temanggung,34,20201831.00,true,2025-06-03
87,Saraswati Rahmi,gasti4@gmail.co.id,Customer Marketing Facilitator,Makassar,32,3862289.00,false,2026-03-04
88,Yessi Yessi Usamah,victoria84@yahoo.co.id,Central Tactics Liaison,Lamongan,31,19438325.00,true,2025-09-12
89,Kairav Kairav Aswandi,sherly51@yahoo.com,Regional Applications Supervisor,Surabaya,28,9159374.00,true,2025-07-27
90,Ulva Jelita,panji_mandala68@gmail.com,Product Communications Agent,Raba,38,9834520.00,true,2025-09-15
91,Qori Afifah,kezia_yuniar@gmail.co.id,Internal Infrastructure Planner,Tahuna,43,22741811.00,true,2026-02-05
92,Timbul Timbul Oktovian,catur_purwanti60@gmail.com,Chief Tactics Consultant,Mbay,42,19761635.00,false,2025-07-01
93,Endah Endah Melani,aditya.mulyani78@gmail.co.id,Investor Intranet Technician,Taliwang,18,11527772.00,false,2025-09-12
94,Indra Gunarto,natalia_lestari64@yahoo.com,Legacy Security Developer,Atambua,65,7819123.00,true,2025-11-03
95,Karta Haikal,manah51@gmail.com,Lead Brand Engineer,Bumiayu,36,11564522.00,false,2025-05-13
96,Noviana Noviana Yuliarti,restu82@yahoo.co.id,Regional Integration Associate,Boyolali,57,7374327.00,false,2025-12-26
97,Riyanti Jessica,harjasa_maheswari34@yahoo.com,District Tactics Technician,Cibinong,20,16995763.00,true,2025-05-05
98,Nadine Fathina,faizah_najmudin@yahoo.com,Lead Functionality Producer,Tegal,62,3829019.00,false,2025-10-21
99,Yono Yono Perdana,ade_ahmad@yahoo.com,Customer Interactions Consultant,Tahuna,31,9606442.00,true,2026-03-22
100,Tri Tri Wasita,uli42@gmail.com,Lead Web Liaison,Sleman,37,22632160.00,true,2026-02-13
101,Vania Safitri,asmuni21@gmail.co.id,District Division Technician,Purwodadi,53,5852715.00,true,2025-11-15
102,Nathania Iriana,adinata20@gmail.co.id,Internal Group Officer,Sidenreng,21,15788370.00,true,2026-01-14
103,Diana Diana Wulandari,febi84@gmail.co.id,Regional Factors Developer,Unaaha,22,10657227.00,false,2025-10-14
104,Ade Ade Yolanda,elisa34@gmail.co.id,Direct Group Manager,Magelang,55,12133389.00,true,2025-10-26
105,Melani Widiastuti,raharja65@yahoo.co.id,Central Infrastructure Associate,Negara,55,7524745.00,true,2025-07-21
106,Andriani Maya,martani.uyainah@gmail.com,Investor Assurance Developer,Badung,62,10138274.00,false,2025-09-24
107,Jaswadi Jaswadi Dirgantara,waluyo20@yahoo.co.id,Chief Paradigm Consultant,Ciamis,59,6843714.00,false,2025-09-28
108,Maryadi Warji,muni35@yahoo.co.id,Customer Solutions Architect,Tahuna,62,10591369.00,false,2025-06-12
109,Kamila Kamila Mandasari,lala_gunarto@yahoo.com,Customer Interactions Officer,Trenggalek,45,6297663.00,true,2026-03-21
110,Vega Vega Mustofa,agnes34@gmail.com,District Data Executive,Kotamobagu,63,3818696.00,true,2025-06-10
111,Tira Namaga,tri95@yahoo.com,Investor Security Producer,Kendal,48,19483727.00,true,2025-06-29
112,Waluyo Najam,daruna55@gmail.co.id,Direct Group Strategist,Bojonegoro,21,24012418.00,true,2025-03-31
113,Rachmawati Ira,lanjar.aurelia@yahoo.co.id,District Usability Assistant,Sumbawa Besar,25,23157485.00,true,2025-06-14
114,Purnawarman Kenari,jayeng_dirgantara70@gmail.co.id,Investor Assurance Administrator,Banyumas,33,14530192.00,false,2025-04-02
115,Tarihoran Wira,cakrawala92@gmail.co.id,District Applications Executive,Malili,25,17395764.00,true,2026-01-16
116,Handayani Maida,siska62@gmail.com,Product Marketing Manager,Tulungagung,33,8118891.00,false,2025-08-19
117,Kasiyah Kasiyah Ardiyanti,prasetya_tampubolon11@yahoo.com,Legacy Configuration Strategist,Tangerang Selatan,41,18085067.00,true,2025-09-15
118,Slamet Slamet Firgantoro,viman.ramadhani93@gmail.com,Chief Optimization Agent,Semarang,30,23046612.00,true,2025-06-13
119,Kasiran Kasiran Adriansyah,yono.aurelia@gmail.com,Investor Interactions Representative,Lasusua,32,11975988.00,true,2025-11-16
120,Pratama Rusman,faizah.mangunsong44@gmail.co.id,International Response Orchestrator,Kwandang,58,19854761.00,true,2026-03-28
121,Ardiyanti Laila,diana77@yahoo.com,Product Configuration Developer,Wonosari,27,3489447.00,true,2025-04-29
122,Fabian Jaga,edi23@yahoo.co.id,District Program Coordinator,Rumbia,32,10669547.00,true,2026-01-08
123,Wardana Gaduh,ella33@yahoo.com,National Accounts Facilitator,Cilegon,50,21204876.00,false,2026-02-23
124,Mahestri Kiandra,dinda46@gmail.co.id,Chief Solutions Strategist,Sleman,64,19074229.00,true,2025-12-20
125,Eli Oktaviani,lasmanto_usamah0@yahoo.com,Internal Accountability Officer,Gorontalo,64,5654280.00,false,2025-08-11
126,Sasha Sasha Hassanah,sadina32@yahoo.com,Internal Web Strategist,Blitar,65,4722357.00,false,2025-06-03
127,Yuliarti Maida,adiarja_hutasoit@gmail.co.id,Product Optimization Administrator,Jombang,48,13616625.00,false,2026-02-02
128,Eko Maheswara,dwi_melani@gmail.co.id,Lead Accountability Coordinator,Batang,40,5374662.00,false,2025-04-13
129,Hendri Hendri Purnawarman,saadat77@gmail.co.id,Lead Security Director,Bogor,40,21268690.00,false,2025-04-14
130,Dodo Habibi,putri95@yahoo.co.id,Global Tactics Orchestrator,Tanjung,25,16520968.00,false,2025-11-25
131,Sari Sari Anandya,ulva.rahimah@yahoo.com,Future Response Administrator,Caruban,61,15542080.00,true,2026-03-11
132,Sartika Sartika Wulandari,tania18@gmail.co.id,Investor Functionality Developer,Kota Raha,42,24443797.00,true,2025-11-03
133,Gadang Gadang Halim,janet.maulana@gmail.co.id,Regional Infrastructure Engineer,Subang,52,18507389.00,false,2025-05-17
134,Melinda Tantri,jaswadi77@yahoo.com,Corporate Web Developer,Ondong Siau,56,15339138.00,false,2025-08-24
135,Pranawa Pranawa Maulana,ika.darmawan58@gmail.com,Product Security Analyst,Bulukumba,31,17620499.00,false,2025-05-05
136,Queen Palastri,wahyu.agustina@gmail.com,Internal Program Agent,Jakarta,21,9625090.00,false,2025-08-03
137,Ciaobella Ciaobella Yuliarti,dalima.aryani@yahoo.co.id,Chief Marketing Liaison,Sumedang,47,8625733.00,true,2025-08-11
138,Qori Leilani,vicky_mangunsong10@yahoo.co.id,Principal Group Liaison,Tigaraksa,20,13870152.00,false,2025-12-12
139,Caraka Narpati,tugiman33@yahoo.co.id,Customer Quality Facilitator,Tulungagung,35,9121200.00,true,2025-10-23
140,Imam Imam Manullang,digdaya_aryanti67@yahoo.com,Dynamic Accounts Manager,Wonosobo,50,3820155.00,false,2025-07-14
141,Upik Samosir,ade3@yahoo.com,Senior Marketing Liaison,Bima,59,19415613.00,false,2026-02-22
142,Mulya Mulya Rajasa,artanto.prasetyo25@gmail.com,Product Solutions Designer,Atambua,51,14652353.00,true,2025-06-10
143,Lukman Lukman Maheswara,rahmawati69@yahoo.co.id,Lead Research Strategist,Airmadidi,52,21588921.00,true,2026-01-18
144,Viman Viman Mahardika,kirana.yanuar73@gmail.com,Forward Functionality Technician,Watampone,53,24220544.00,true,2025-07-22
145,Tri Tri Lesmana,lantar24@yahoo.co.id,Dynamic Configuration Specialist,Rangkasbitung,34,9898999.00,false,2026-01-10
146,Gina Gina Harini,nabila_prastuti@gmail.co.id,Future Configuration Assistant,Tulungagung,48,14565101.00,false,2025-08-02
147,Vivi Padmasari,sari_nugroho@yahoo.com,Global Operations Agent,Mataram,44,3280629.00,false,2025-10-19
148,Rahman Firgantoro,zelda_wahyudin52@yahoo.co.id,International Data Engineer,Malili,33,13490365.00,true,2025-10-07
149,Perkasa Handoko,slamet_prasasta68@yahoo.com,Global Data Engineer,Ambarawa,50,24719685.00,true,2025-11-26
150,Saputra Nyana,dwi19@gmail.com,Regional Program Consultant,Ende,32,17091116.00,true,2026-02-20
151,Widiastuti Aurora,aurora14@yahoo.com,Product Identity Administrator,Baa,40,16626311.00,true,2025-09-02
152,Rahmawati Rahmawati Mustika,vanya21@gmail.com,Global Implementation Orchestrator,Bangkalan,40,13818026.00,false,2026-03-28
153,Gandi Gandi Saputra,galuh.rajasa@yahoo.com,Direct Program Associate,Suwawa,22,24371404.00,false,2026-03-27
154,Diah Kahyang,tsabita.iswahyudi@gmail.com,Product Configuration Administrator,Ngamprah,35,20490355.00,true,2025-06-04
155,Opan Sabian,calista67@yahoo.com,Internal Markets Strategist,Bau-Bau,49,8147179.00,false,2025-05-09
156,Karna Karna Nanda,gabriella36@gmail.co.id,Product Interactions Technician,Tangerang,20,17994321.00,false,2026-01-20
157,Yani Yani Wahyuni,margana_susanti55@gmail.com,International Quality Facilitator,Wonogiri,37,9385265.00,true,2025-05-08
158,Manullang Taufik,hesti.maharani15@gmail.co.id,Human Applications Liaison,Soreang,22,18765205.00,true,2026-01-09
159,Bahuwirya Mandala,jayadi_waluyo@yahoo.co.id,Legacy Creative Coordinator,Mataram,45,9559397.00,true,2026-03-02
160,Ami Ami Purwanti,pranawa.nugraha85@gmail.co.id,Legacy Quality Strategist,Wangi Wangi,54,8716133.00,false,2025-08-05
161,Prabu Prabu Latupono,sartika_rachmawati@gmail.co.id,Regional Directives Facilitator,Purwokerto,64,8315831.00,false,2025-10-27
162,Kahyang Tri,dalima.utama@yahoo.co.id,Human Functionality Agent,Sidenreng,65,23353123.00,false,2025-06-08
163,Wahyuni Gadis,hendra_febian@gmail.co.id,National Program Strategist,Sidayu,32,14975279.00,false,2025-12-15
164,Pia Maryati,lestari.aryanti46@gmail.co.id,National Division Engineer,Pare,41,22542453.00,true,2025-08-02
165,Pudjiastuti Vivi,karma43@yahoo.co.id,Central Data Officer,Slawi,62,20208259.00,true,2026-01-25
166,Mursinin Megantara,titi_maheswara@yahoo.com,Legacy Data Specialist,Serang,63,12344849.00,true,2026-01-04
167,Damanik Simon,violet_azzahra@yahoo.co.id,Senior Communications Liaison,Bojonegoro,20,20644294.00,true,2025-12-15
168,Tirtayasa Tirtayasa Siregar,citra32@gmail.co.id,Dynamic Configuration Director,Sumber,36,22746743.00,false,2025-11-21
169,Marsudi Setiawan,ganda78@gmail.co.id,Global Interactions Analyst,Atambua,20,21326408.00,true,2025-09-20
170,Cawisono Cawisono Narpati,jessica_herlambang@yahoo.com,Direct Factors Officer,Trenggalek,61,4109485.00,false,2025-08-06
171,Alika Kusmawati,raina23@yahoo.com,Customer Accountability Orchestrator,Klaten,48,13433999.00,false,2025-09-06
172,Galih Nashiruddin,dina_nainggolan56@yahoo.com,Internal Marketing Agent,Majene,31,19462359.00,false,2025-06-17
173,Karma Sitorus,juli.pranowo78@yahoo.co.id,Direct Research Architect,Kotamobagu,50,13191052.00,true,2026-02-26
174,Alika Alika Salma,kasiran64@yahoo.co.id,Chief Paradigm Facilitator,Jepara,25,4251800.00,false,2026-01-03
175,Hasna Hasna Permata,sidiq48@yahoo.com,Dynamic Directives Facilitator,Kendal,57,22702540.00,true,2025-04-09
176,Zahra Zahra Salma,lutfan_wahyuni@gmail.co.id,Direct Metrics Liaison,Makale,23,16121607.00,true,2025-12-18
177,Simanjuntak Prayogo,mutia64@yahoo.com,Forward Directives Manager,Yogyakarta,39,20312173.00,true,2025-09-16
178,Usyi Usyi Nathania,olivia.prakasa10@yahoo.co.id,Senior Research Orchestrator,Tutuyan,30,9022887.00,false,2025-10-27
179,Ulva Oktaviani,humaira.aryanti@yahoo.com,Internal Infrastructure Associate,Majene,22,20839019.00,false,2025-04-04
180,Muhammad Lazuardi,ian.usamah83@gmail.co.id,Global Security Orchestrator,Bantul,51,23156782.00,true,2025-10-26
181,Silvia Silvia Puspasari,bakti.maulana@yahoo.co.id,Future Intranet Analyst,Selong,37,18997402.00,true,2025-05-07
182,Purwanto Hakim,zaenab5@yahoo.co.id,Global Identity Officer,Palopo,49,12393124.00,false,2026-03-12
183,Balangga Balangga Simanjuntak,diana.hassanah18@gmail.com,Forward Security Manager,Sidenreng,36,11193766.00,false,2026-03-09
184,Permata Rachel,ira41@gmail.com,Dynamic Paradigm Specialist,Sumedang,54,20112932.00,true,2025-07-01
185,Safitri Salsabila,balidin.melani@yahoo.com,Investor Accountability Manager,Boroko,40,21402814.00,false,2025-07-25
186,Rosa Rosa Purnawati,laras.wicaksono38@gmail.com,Corporate Implementation Technician,Nganjuk,45,15192365.00,false,2025-06-05
187,Ciaobella Rahmawati,devi_suryatmi32@yahoo.com,Chief Directives Representative,Demak,54,6387868.00,false,2025-08-19
188,Susanti Cici,halim95@gmail.com,Forward Infrastructure Supervisor,Labuhan Bajo,36,17799289.00,true,2026-02-18
189,Adikara Haryanto,alika_fernanda@gmail.co.id,Future Quality Specialist,Bantul,20,3105351.00,true,2026-01-25
190,Antoni Dasa,rita_anggraini@yahoo.com,Investor Applications Supervisor,Bumiayu,23,23569591.00,true,2025-08-23
191,Sinaga Pangeran,purwa.laksita50@yahoo.co.id,Investor Mobility Designer,Wonosari,35,3171975.00,true,2026-03-14
192,Ridwan Pranowo,nasrullah.farida35@yahoo.co.id,Principal Quality Administrator,Purwakarta,36,17169477.00,false,2025-04-27
193,Puti Puti Wastuti,elvina.utami99@gmail.com,Customer Applications Administrator,Kediri,55,6202316.00,true,2026-01-24
194,Ciaobella Ciaobella Zulaika,niyaga62@gmail.co.id,Chief Configuration Assistant,Bandung,30,3400386.00,false,2025-08-30
195,Uda Uda Pranowo,irfan.aqila@yahoo.com,Customer Implementation Agent,Pelabuhan Ratu,43,21642948.00,false,2025-12-20
196,Handoko Luwar,ian_oktaviani5@gmail.co.id,Internal Functionality Consultant,Dompu,50,7945000.00,true,2025-08-15
197,Febrina Usada,ade15@gmail.com,Corporate Branding Technician,Makassar,23,6343493.00,true,2025-08-29
198,Rahardian Xanana,aditya.pratiwi29@yahoo.co.id,District Functionality Assistant,Kendal,42,5905437.00,false,2025-05-13
199,Sintia Sintia Winarsih,anggabaya.susanti56@yahoo.co.id,Principal Division Representative,Mamasa,54,22300274.00,true,2025-04-15
200,Warta Sihombing,ghani.pradipta84@gmail.com,Dynamic Markets Representative,Kepanjen,25,3363828.00,false,2026-03-24
201,Nimas Yulianti,dariati_padmasari52@gmail.co.id,Direct Brand Executive,Pemalang,52,16470116.00,false,2025-09-07
202,Najwa Najwa Namaga,wahyu_haryanti8@yahoo.com,Chief Group Liaison,Takalar,50,10519121.00,true,2025-11-25
203,Laswi Laswi Adhitama,ratih.ardana52@yahoo.com,Corporate Mobility Producer,Sumbawa Besar,24,12853283.00,false,2025-09-22
204,Rafi Rafi Maheswara,linda_azizah15@yahoo.co.id,Regional Group Developer,Kendari,19,21042269.00,true,2025-04-11
205,Juwita Sherly,qori_prasetyo3@gmail.com,Forward Research Designer,Sidoarjo,44,17133266.00,true,2025-11-17
206,Mardhiyah Dwi,violet_manullang@yahoo.co.id,Human Data Facilitator,Pamekasan,33,9973419.00,true,2025-10-06
207,Ade Utama,kanda_maheswari93@yahoo.co.id,Corporate Usability Facilitator,Raba,39,5873696.00,false,2026-03-01
208,Gabriella Gabriella Aryanti,jamal_salma50@yahoo.co.id,Internal Data Specialist,Rantepao,29,4030001.00,false,2025-04-14
209,Marbun Darimin,bakda57@gmail.co.id,Internal Interactions Associate,Bantaeng,37,6546968.00,false,2025-05-22
210,Novita Andini,jail.mandasari83@yahoo.com,Legacy Branding Specialist,Tambolaka,43,10186343.00,false,2026-01-28
211,Maimunah Maimunah Nathania,yosef.mayasari@gmail.co.id,Dynamic Security Assistant,Ungaran,50,3724080.00,true,2025-12-22
212,Pudjiastuti Zelaya,chelsea79@gmail.co.id,International Tactics Associate,Kraksaan,40,21657440.00,false,2025-10-04
213,Dartono Haikal,laila.kusmawati8@gmail.com,District Assurance Facilitator,Singaraja,26,8582258.00,true,2025-07-10
214,Safira Safira Purnawati,ilsa14@gmail.com,Internal Web Supervisor,Tilamuta,50,13795193.00,false,2025-10-20
215,Nardi Nardi Nababan,pangeran.oktaviani28@gmail.com,Human Configuration Designer,Pekalongan,39,22711596.00,false,2025-09-17
216,Budiman Soleh,olga_yuniar47@gmail.co.id,Lead Usability Producer,Pasangkayu,40,14318997.00,true,2025-09-14
217,Kurniawan Mahesa,elisa_arifin@gmail.co.id,Forward Brand Director,Bangkalan,44,4491555.00,false,2025-10-14
218,Habibi Darmana,alambana_mahendra18@gmail.com,Dynamic Interactions Associate,Purwodadi,64,7693437.00,true,2025-08-27
219,Santoso Vino,hendri.aryanti@gmail.co.id,Internal Optimization Coordinator,Waingapu,60,24186897.00,true,2025-03-31
220,Yulianti Maya,balidin77@yahoo.com,Global Data Strategist,Tangerang,25,7400635.00,true,2025-09-11
221,Nur Mardhiyah,novita.wibisono94@yahoo.co.id,Legacy Intranet Executive,Cibinong,62,21159092.00,true,2025-11-23
222,Labuh Wibowo,oskar10@yahoo.co.id,Future Directives Producer,Karangasem,64,4587248.00,false,2025-08-05
